entityId	entitySourceCode	entity	entityType	property	valueId	valueSourceCode	value	valueType	group	source
1718800896110108541	31030003100	青光眼视网膜神经纤维层计算机图像分析	操作	限包含项目	1718800896110103074		计算机图像分析	操作	0	浙江省省级公立医院医疗服务价格项目汇总表(20251015)
1576768507049650681	33160302800	带毛囊游离皮肤移植术	操作	限包含项目	1718800896110107166		超薄皮瓣成形术	操作	0	浙江省省级公立医院医疗服务价格项目汇总表(20251015)
1718800896110108908	25030590100	肝功能常规检查	操作	限包含项目	1718800896110102111		血清白蛋白测定	操作	0	浙江省省级公立医院医疗服务价格项目汇总表(20251015)
1718800896110108908	25030590100	肝功能常规检查	操作	限包含项目	1718800896110101896		血清丙氨酸氨基转移酶测定	操作	0	浙江省省级公立医院医疗服务价格项目汇总表(20251015)
1718800896110108908	25030590100	肝功能常规检查	操作	限包含项目	1718800896110102143		血清碱性磷酸酶测定	操作	0	浙江省省级公立医院医疗服务价格项目汇总表(20251015)
1718800896110108908	25030590100	肝功能常规检查	操作	限包含项目	1718800896110101962		血清天门冬氨酸氨基转移酶测定	操作	0	浙江省省级公立医院医疗服务价格项目汇总表(20251015)
1718800896110108908	25030590100	肝功能常规检查	操作	限包含项目	1718800896110102127		血清直接胆红素测定	操作	0	浙江省省级公立医院医疗服务价格项目汇总表(20251015)
1718800896110108908	25030590100	肝功能常规检查	操作	限包含项目	1718800896110102011		血清总胆红素测定	操作	0	浙江省省级公立医院医疗服务价格项目汇总表(20251015)
1718800896110108908	25030590100	肝功能常规检查	操作	限包含项目	1718800896110102021		血清总蛋白测定	操作	0	浙江省省级公立医院医疗服务价格项目汇总表(20251015)
1718800896110108908	25030590100	肝功能常规检查	操作	限包含项目	1718800896110101885		血清γ-谷氨酰基转移酶测定	操作	0	浙江省省级公立医院医疗服务价格项目汇总表(20251015)
1567677492412832621	33060603900	腭瘘修补术	操作	限包含项目	1718800896110108241		邻位粘膜瓣制备	操作	0	浙江省省级公立医院医疗服务价格项目汇总表(20251015)
1567677492412832621	33060603900	腭瘘修补术	操作	限包含项目	1734520859742113649		腭瘘修复	操作	0	浙江省省级公立医院医疗服务价格项目汇总表(20251015)
