entityId	entitySourceCode	entity	entityType	property	valueId	valueSourceCode	value	valueType	group	source
1567677492290381118	381	地塞米松玻璃体内植入剂	药品	限适应证	1710412402182100235		视网膜静脉阻塞(RVO)的黄斑水肿	临床所见	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1567677492290381118	381	地塞米松玻璃体内植入剂	药品	限适应证	1710412402182100407		糖尿病性黄斑水肿(DME)	临床所见	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1765766607854100086	328	舒马普坦萘普生钠片	药品	限适应证	1567676798580581515		偏头痛的急性发作	临床所见	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1710412402182101030	733	去甲万古霉素注射剂	药品	限适应证	1710412402182100227		甲氧西林耐药阳性球菌感染	疾病	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1710412402182101030	733	去甲万古霉素注射剂	药品	限适应证	1723100655733824316		球菌感染	疾病	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1710412402182101030	733	去甲万古霉素注射剂	药品	限适应证	1734520859742118103		中枢神经系统重症感染	疾病	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1710412402182101030	733	去甲万古霉素注射剂	药品	限适应证	1585622404074440531		菌血症	疾病	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1710412402182101030	733	去甲万古霉素注射剂	药品	限适应证	1710412402182100986		心血管系统重症感染	疾病	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1585622404038824086	185	甲磺酸氟马替尼片	药品	限适应证	1710412402182100728		慢性髓性白血病(Ph+CML)慢性期	临床所见	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1585622404038824086	185	甲磺酸氟马替尼片	药品	限适应证	1638862635663753988		慢性髓性白血病	临床所见	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1689245828242112353	10	羟考酮纳洛酮缓释片	药品	限适应证	1638862652774590040		重度疼痛	临床所见	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1689245828242112353	10	羟考酮纳洛酮缓释片	药品	限适应证	1765766607854100710		需阿片类镇痛药才能充分控制	事件	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1567677479431874065	10	痰热清胶囊	药品	限适应证	1567677479257257540		发热	临床所见	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1567677479431874065	10	痰热清胶囊	药品	限适应证	1567677479478618346		咳嗽	临床所见	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1567677479431874065	10	痰热清胶囊	药品	限适应证	1638862648423863723		咯痰	临床所见	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1567677479431874065	10	痰热清胶囊	药品	限适应证	1638862652092565406		咽痛	临床所见	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1567677479431874065	10	痰热清胶囊	药品	限适应证	1576768507487355146		流涕	临床所见	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1567677479431874065	10	痰热清胶囊	药品	限适应证	1638862604220811648		口干	临床所见	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1567677492288473041	1000	乙磺酸尼达尼布软胶囊	药品	限适应证	1710412402182100183		特发性肺纤维化(IPF)	临床所见	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1567677492288473041	1000	乙磺酸尼达尼布软胶囊	药品	限适应证	1710412402182100429		系统性硬化病相关间质性肺疾病(SSc-ILD)	临床所见	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1567677492288473041	1000	乙磺酸尼达尼布软胶囊	药品	限适应证	1710412402182101232		慢性纤维化性间质性肺疾病	临床所见	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1765766607854100087	212	利厄替尼片	药品	限适应证	1765766607854100307		具有表皮生长因子受体(EGFR)外显子19缺失或外显子21(L858R)置换突变	事件	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1765766607854100087	212	利厄替尼片	药品	限适应证	1594101137061707653		局部晚期非小细胞肺癌	临床所见	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1765766607854100087	212	利厄替尼片	药品	限适应证	1734520859742109487		转移性非小细胞肺癌(NSCLC)	临床所见	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1765766607854100087	212	利厄替尼片	药品	限适应证	1765766607854100497		既往经EGFR酪氨酸激酶抑制剂(TKI)治疗时或治疗后出现疾病进展	事件	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1765766607854100087	212	利厄替尼片	药品	限适应证	1765766607854100581		经检测确认存在EGFRT790M突变阳性	事件	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1567677492294515808	212	盐酸乙酰左卡尼汀片	药品	限适应证	1638862675568888252		糖尿病周围神经病变	临床所见	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1675770553678118696	67	中长链脂肪乳/氨基酸(16)/葡萄糖(30%)注射液	药品	限联合使用诊疗项目	1567677492991386731		营养风险筛查	观测操作	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1675770553678118696	67	中长链脂肪乳/氨基酸(16)/葡萄糖(30%)注射液	药品	限适应证	1608729910219456885		营养风险	临床所见	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1675770553678118696	67	中长链脂肪乳/氨基酸(16)/葡萄糖(30%)注射液	药品	限适应证	1765766607854100255		不能经饮食或"肠内营养剂"补充足够营养	事件	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1705052517347117004	269	注射用醋酸曲普瑞林微球	药品	限适应证	1638862615340933120		前列腺癌	临床所见	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1705052517347117004	269	注射用醋酸曲普瑞林微球	药品	限适应证	1765766607854100709		需要雄激素去势治疗	事件	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1705052517347117004	269	注射用醋酸曲普瑞林微球	药品	限适应证	1765766607854100389		子宫内膜异位症I期	临床所见	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1705052517347117004	269	注射用醋酸曲普瑞林微球	药品	限适应证	1765766607854100387		子宫内膜异位症II期	临床所见	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1705052517347117004	269	注射用醋酸曲普瑞林微球	药品	限适应证	1765766607854100386		子宫内膜异位症III期	临床所见	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1705052517347117004	269	注射用醋酸曲普瑞林微球	药品	限适应证	1765766607854100388		子宫内膜异位症IV期	临床所见	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1638862596395620402	269	注射用重组人凝血因子VIIa	药品	限适应证	1710412402182100140		先天性血友病	临床所见	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1638862596395620402	269	注射用重组人凝血因子VIIa	药品	限适应证	1638862590849906336		血小板无力症	临床所见	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1638862596395620402	269	注射用重组人凝血因子VIIa	药品	限适应证	1710412402182100128		先天性凝血因子VII(FVII)缺乏症	临床所见	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1638862596395620402	269	注射用重组人凝血因子VIIa	药品	限适应证	1595386466480874003		获得性血友病	临床所见	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1642753370457100031	345	咪达唑仑口服溶液	药品	限联合使用诊疗项目	1710412402182100258		诊断性操作	操作	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1642753370457100031	345	咪达唑仑口服溶液	药品	限联合使用诊疗项目	1567677493011115174		治疗性操作	操作	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1642753370457100031	345	咪达唑仑口服溶液	药品	限联合使用诊疗项目	1576806136451550467		镇静	操作	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1642753370457100031	345	咪达唑仑口服溶液	药品	限联合使用诊疗项目	1734520859742123236		抗焦虑	操作	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1642753370457100031	345	咪达唑仑口服溶液	药品	限联合使用诊疗项目	1734520859742130077		遗忘	操作	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1723099348419131679	149	玛巴洛沙韦干混悬剂	药品	限适应证	1694059615233100592		单纯性乙型流感	疾病	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1723099348419131679	149	玛巴洛沙韦干混悬剂	药品	限适应证	1694059615233100604		单纯性甲型流感	疾病	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1689245828242112413	54	羧基麦芽糖铁注射液	药品	限适应证	1638862670969564072		缺铁	疾病	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1765766607854100039	54	芪防鼻通片	药品	限适应证	1765766607854100452		持续性变应性鼻炎	临床所见	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1765766607854100039	54	芪防鼻通片	药品	限适应证	1765766607854100520		未合并季节性过敏原	临床所见	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1765766607854100039	54	芪防鼻通片	药品	限适应证	1567677479479217844		喷嚏	临床所见	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1765766607854100039	54	芪防鼻通片	药品	限适应证	1576768507487355146		流涕	临床所见	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1765766607854100039	54	芪防鼻通片	药品	限适应证	1585622404064622570		鼻痒	临床所见	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1765766607854100039	54	芪防鼻通片	药品	限适应证	1567677476779233142		鼻塞	临床所见	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1765766607854100039	54	芪防鼻通片	药品	限适应证	1567677478352851024		舌淡	临床所见	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1765766607854100039	54	芪防鼻通片	药品	限适应证	1604657051241480500		苔白	临床所见	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1765766607854100039	54	芪防鼻通片	药品	限适应证	1604657051057613761		脉浮	临床所见	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1765766607854100039	54	芪防鼻通片	药品	限适应证	1604657051057463272		脉细弱	临床所见	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1567677479590542045	715	川蛭通络胶囊	药品	限适应证	1638862622633784664		脑梗塞恢复期	疾病	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1567677479360462420	968	注射用黄芪多糖	药品	限适应证	1638862607576985945		肿瘤	临床所见	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1567677479577546781	358	丁苯酞软胶囊	药品	限适应证	1638862661890533579		缺血性脑梗死	临床所见	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1765766607854100037	225	艾沙妥昔单抗注射液	药品	限适应证	1765766607854100258		不适合自体干细胞移植(ASCT)的新诊断	事件	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1765766607854100037	225	艾沙妥昔单抗注射液	药品	限适应证	1567677479182418851		多发性骨髓瘤	临床所见	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1765766607854100037	225	艾沙妥昔单抗注射液	药品	限适应证	1765766607854100488		既往接受过至少一线治疗(包括来那度胺和蛋白酶体抑制剂)	事件	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1567677479519778088	911	甲磺酸阿帕替尼片	药品	限适应证	1773653503998100867		既往至少接受过2种系统化疗后进展或复发	事件	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1567677479519778088	911	甲磺酸阿帕替尼片	药品	限适应证	1594101136809686270		晚期胃腺癌	临床所见	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1567677479519778088	911	甲磺酸阿帕替尼片	药品	限适应证	1594101136810428733		胃-食管结合部腺癌	临床所见	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1567677479519778088	911	甲磺酸阿帕替尼片	药品	限适应证	1773653503998100856		既往接受过至少一线系统性治疗后失败或不可耐受	事件	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1567677479519778088	911	甲磺酸阿帕替尼片	药品	限适应证	1773653503998100874		晚期肝细胞癌	临床所见	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1567677479519778088	911	甲磺酸阿帕替尼片	药品	限适应证	1773653503998100788		不可切除肝细胞癌	临床所见	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1567677479519778088	911	甲磺酸阿帕替尼片	药品	限适应证	1619699543167430634		转移性肝细胞癌	临床所见	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1567677479519778088	911	甲磺酸阿帕替尼片	药品	限适应证	1773653503998100838		接受过化疗治疗的伴有胚系BRCA突变(gBRCAm)	事件	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1567677479519778088	911	甲磺酸阿帕替尼片	药品	限适应证	1773653503998100795		人表皮生长因子受体(HER2)阴性	临床所见	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1567677479519778088	911	甲磺酸阿帕替尼片	药品	限适应证	1595386466562038578		转移性乳腺癌	临床所见	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1567677479519778088	911	甲磺酸阿帕替尼片	药品	限适应证	1773653503998100869		既往需接受过内分泌治疗或被认为不适合接受内分泌治疗	事件	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1567677479519778088	911	甲磺酸阿帕替尼片	药品	限适应证	1765766607854100547		激素受体(HR)阳性	临床所见	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1710412402182100026	225	沙格雷酯口服常释剂型	药品	限适应证	1734520859742105977		慢性动脉闭塞	疾病	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1710412402182100026	225	沙格雷酯口服常释剂型	药品	限适应证	1585622404060415567		溃疡	疾病	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1710412402182100026	225	沙格雷酯口服常释剂型	药品	限适应证	1567677479225820850		间歇性跛行	疾病	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1710412402182100026	225	沙格雷酯口服常释剂型	药品	限适应证	1638862594435857060		严重疼痛	临床所见	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1710412402182101267	301	复方氨基酸(9AA)注射剂	药品	限适应证	1567677478374773760		肾功能不全	疾病	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1714034222795100357	301	氘可来昔替尼片	药品	限适应证	1594101136794553261		重度斑块状银屑病	疾病	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1642753370457100021	238	赛帕利单抗注射液	药品	限适应证	1638862603740808215		宫颈癌	疾病	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1642753370457100021	238	赛帕利单抗注射液	药品	限适应证	1612349673590010018		难治性经典型霍奇金淋巴瘤	疾病	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1642753370457100021	238	赛帕利单抗注射液	药品	限适应证	1612349673590364256		复发性经典型霍奇金淋巴瘤	疾病	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1604802234721532821	41	注射用阿替普酶	药品	限适应证	1567677480299710116		急性心肌梗死	疾病	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1604802234721532821	41	注射用阿替普酶	药品	限适应证	1638862625647583411		脑梗死	疾病	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1604802234721532821	41	注射用阿替普酶	药品	限联合使用诊疗项目	1638862610145884426		溶栓治疗	操作	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1765766607854100038	98	怡培生长激素注射液	药品	限适应证	1638862676218880543		生长激素缺乏症	临床所见	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1765766607854100038	98	怡培生长激素注射液	药品	限适应证	1638862640271645454		生长缓慢	临床所见	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1710412402182100917	363	葛根素注射剂	药品	限适应证	1594101136775374185		视网膜动静脉阻塞	疾病	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1710412402182100917	363	葛根素注射剂	药品	限适应证	1638862588365806456		突发性耳聋	疾病	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
1604802234699506206	363	苯环喹溴铵鼻喷雾剂	药品	限适应证	1567677480309448828		变应性鼻炎	临床所见	0	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
