ruleId	ruleName	ruleType	ruleNote	splitFlag	originRuleId	ruleStatus	ruleSource
R00003	医疗服务项目限工伤保险	政策类-医疗服务项目政策限定类-医疗服务项目限工伤保险	根据地方诊疗项目目录要求，项目限工伤保险使用方可报销。	0		1	浙江省省级公立医院医疗服务价格项目汇总表(2025年10月15日起)，浙江省基本医疗保险医疗服务项目目录(2025年)
R00005	医疗服务项目限新生儿使用	政策类-医疗服务项目政策限定类-医疗服务项目限新生儿使用	根据地方诊疗项目目录要求，项目限新生儿患者使用方可报销。	0		1	浙江省省级公立医院医疗服务价格项目汇总表(2025年10月15日起)，浙江省基本医疗保险医疗服务项目目录(2025年)
R00007	医疗服务项目限定适应证	政策类-医疗服务项目政策限定类-医疗服务项目限适应症	根据地方诊疗项目目录要求，项目限指定适应证使用方可报销。	0		1	浙江省省级公立医院医疗服务价格项目汇总表(2025年10月15日起)，浙江省基本医疗保险医疗服务项目目录(2025年)
R00008	医疗服务项目限定科室使用	政策类-医疗服务项目政策限定类-医疗服务项目限科室使用	根据地方诊疗项目目录要求，项目限指定科室的患者使用方可报销。	0		1	浙江省省级公立医院医疗服务价格项目汇总表(2025年10月15日起)，浙江省基本医疗保险医疗服务项目目录(2025年)
R00012	医疗服务项目重复收费	政策类-医疗服务项目政策限定类-医疗服务项目重复收费	根据地方诊疗项目目录要求，项目与其他项目/药品/耗材存在重复收费，不可报销。	0		1	浙江省省级公立医院医疗服务价格项目汇总表(2025年10月15日起)，浙江省基本医疗保险医疗服务项目目录(2025年)
R00014	医疗服务项目限定频次/数量	政策类-医疗服务项目政策限定类-医疗服务项目限定频次	根据地方诊疗项目目录要求，项目限符合特定的频次/数量时方可报销。	0		1	浙江省省级公立医院医疗服务价格项目汇总表(2025年10月15日起)，浙江省基本医疗保险医疗服务项目目录(2025年)
R00022	医疗服务项目限定联合使用	政策类-医疗服务项目政策限定类-	根据地方诊疗项目目录要求，项目限与特定医疗服务项目同时使用方可报销。	0		1	浙江省省级公立医院医疗服务价格项目汇总表(2025年10月15日起)，浙江省基本医疗保险医疗服务项目目录(2025年)
R00030	医疗服务项目区分性别使用	医疗类-医疗服务项目合理使用类-医疗服务项目区分性别使用	项目区分性别使用，限定指定性别患者时方可报销。	0		1	浙江省省级公立医院医疗服务价格项目汇总表(2025年10月15日起)，浙江省基本医疗保险医疗服务项目目录(2025年)
